msoa21,Asian,Black,Mixed,White,Other
E02001827,850,134,226,5078,162
E02001828,653,134,196,6083,75
E02001829,1160,164,247,7410,179
E02001830,1374,184,242,7724,162
E02001831,819,495,559,8670,139
E02001832,596,223,263,6713,134
E02001833,832,266,250,4473,115
E02001834,443,435,293,4851,86
E02001835,684,185,317,7147,142
E02001836,1356,409,332,6811,197
E02001837,1096,1197,501,7677,196
E02001838,651,163,156,6483,118
E02001839,795,539,250,4747,111
E02001840,1173,1419,644,6171,194
E02001841,903,146,165,4600,151
E02001842,2250,1057,407,4118,237
E02001843,821,578,289,4826,124
E02001844,761,517,427,7853,159
E02001845,1132,693,325,4353,161
E02001846,1147,1014,532,5222,242
E02001847,420,165,205,4728,83
E02001848,1484,1655,416,3530,234
E02001849,1117,1643,580,5254,195
E02001850,3710,1417,427,2636,415
E02001851,1103,924,536,6280,234
E02001852,1636,1067,397,3726,206
E02001855,261,804,857,7905,105
E02001856,3067,1711,582,3871,407
E02001857,3548,2427,828,6516,536
E02001858,4032,2117,449,2055,493
E02001859,7190,1601,266,996,342
E02001860,4626,1586,333,1343,582
E02001861,6356,2876,442,1001,534
E02001862,5440,1984,410,1267,776
E02001863,5597,1411,212,816,370
E02001865,7271,2099,351,904,776
E02001866,6331,1723,316,720,360
E02001867,4776,2475,302,657,458
E02001868,6869,313,257,1936,443
E02001869,1551,3275,454,1243,485
E02001870,8362,1094,353,2519,663
E02001871,1388,641,531,5601,177
E02001872,436,482,542,5880,84
E02001873,4409,3364,687,2103,819
E02001874,6984,1172,306,978,516
E02001875,2968,3230,405,1823,536
E02001876,4293,5643,827,4416,906
E02001877,9146,1359,311,902,677
E02001878,5548,2020,341,844,768
E02001879,4596,2293,477,1950,709
E02001880,3133,1024,614,4923,339
E02001881,6992,875,313,1585,731
E02001882,4049,793,448,3258,363
E02001883,1188,647,662,5852,167
E02001884,7014,1163,266,823,922
E02001886,4154,1484,460,3012,784
E02001888,1874,551,355,4194,206
E02001889,6214,913,307,917,702
E02001890,2701,1401,551,4598,725
E02001892,6378,926,556,2801,923
E02001893,3583,607,306,4051,277
E02001895,1300,584,512,6344,216
E02001896,7636,1081,248,478,718
E02001897,3500,2477,502,931,1216
E02001898,1242,191,185,4770,170
E02001899,2681,341,330,4654,529
E02001900,2084,1170,396,2259,802
E02001901,1037,339,471,5978,317
E02001902,1387,259,226,4231,153
E02001903,5963,670,188,430,825
E02001904,3361,483,367,3100,413
E02001905,2847,493,497,5888,549
E02001906,1503,867,607,6233,357
E02001907,1419,381,445,8021,148
E02001908,7330,455,184,399,583
E02001909,5150,726,340,712,1358
E02001910,3487,964,337,980,1466
E02001911,1291,1612,705,4599,534
E02001913,1641,794,385,4170,452
E02001914,3220,420,326,2244,849
E02001915,3214,673,609,7002,462
E02001916,4988,582,437,3435,455
E02001918,1902,725,500,5031,488
E02001919,3500,313,279,2366,483
E02001920,761,933,495,5199,266
E02001921,1148,723,557,4917,397
E02001922,2822,1121,889,10642,514
E02001923,7477,412,331,2290,607
E02001924,3462,345,282,2657,332
E02001925,1147,409,353,4583,243
E02001926,1610,517,479,5000,221
E02001927,743,666,458,5542,262
E02001928,338,703,486,5164,129
E02001929,3557,571,647,5337,393
E02001930,1562,266,454,5237,188
E02001931,3931,272,350,3625,414
E02001932,632,747,559,5298,193
E02001933,1513,465,461,5038,243
E02001934,3845,185,227,2513,380
E02001935,919,564,441,5761,396
E02001936,1328,335,328,4239,156
E02001937,2431,478,482,4671,327
E02001938,525,337,450,6414,143
E02001939,569,414,404,4744,164
E02001941,1517,355,331,4024,324
E02001942,348,509,389,5378,155
E02001943,926,412,342,4634,162
E02001944,1108,516,466,5814,163
E02001945,540,620,541,5969,224
E02001946,486,307,335,6309,148
E02001947,545,730,429,4292,246
E02001948,739,240,322,5931,113
E02001949,454,493,505,4646,63
E02001950,373,500,446,7119,133
E02001951,356,887,696,7328,166
E02001952,457,1051,530,6901,188
E02001953,366,342,337,5925,139
E02001954,451,758,575,5572,224
E02001955,322,596,457,6625,96
E02001956,249,356,364,5825,48
E02001957,213,372,288,6899,113
E02003719,1051,344,427,8288,203
E02003720,1579,219,394,7251,279
E02003721,890,322,505,7805,196
E02003722,700,101,361,7110,211
E02003723,2495,297,704,9077,411
E02003724,1097,326,470,8180,269
E02003725,2382,357,900,12178,432
E02003726,988,149,385,6440,267
E02003727,1364,193,575,7565,492
E02003728,1899,216,476,7766,462
E02003729,2012,178,368,6443,340
E02003731,2284,323,614,8404,304
E02003732,192,85,219,9349,61
E02003733,94,52,117,8186,21
E02003734,332,144,344,11019,121
E02003735,250,86,283,7923,73
E02003736,159,40,182,9841,56
E02003737,167,149,261,12548,117
E02003738,93,15,140,6111,43
E02003739,102,21,97,6162,25
E02003740,191,42,130,5873,40
E02003775,161,50,152,6849,27
E02003776,197,52,173,6320,40
E02003777,711,172,367,8561,127
E02003778,341,100,190,5809,87
E02003780,771,210,414,9895,137
E02003781,458,77,193,5244,117
E02003784,417,79,243,8072,77
E02003785,1226,153,262,7125,185
E02003786,417,57,276,5680,99
E02003787,85,31,132,7389,21
E02003788,728,110,281,6902,100
E02003789,581,106,194,6301,86
E02003790,144,40,138,8936,48
E02003791,256,68,172,7740,34
E02003792,166,64,207,9364,72
E02003793,103,45,115,6946,31
E02006807,2931,167,310,4551,252
E02006809,6619,988,295,1371,883
E02006825,103,69,110,5900,18
E02006873,1341,274,422,7627,222
E02006874,660,182,290,8978,121
E02006895,1958,2226,668,3549,957
E02006896,1806,1108,399,2352,461
E02006897,1644,2402,582,3139,686
E02006898,1174,1837,470,3987,436
E02006899,1294,635,378,3373,464
E02006900,10460,2530,473,1087,1169
E02007038,2847,2039,825,7590,389
E02007039,6276,404,221,877,529
E02007040,5625,379,172,1014,415
E02007085,639,150,360,10542,191
E02007086,1956,353,881,7510,433
E02007087,921,185,356,4552,210
