msoa21,msoa_name,population_2022
E02003719,Cambridge 001,10101
E02003720,Cambridge 002,9657
E02003721,Cambridge 003,9874
E02003722,Cambridge 004,8635
E02003723,Cambridge 005,13839
E02003724,Cambridge 006,10346
E02003725,Cambridge 007,16950
E02003726,Cambridge 008,8328
E02003727,Cambridge 009,10271
E02003728,Cambridge 010,10772
E02003729,Cambridge 011,9321
E02003731,Cambridge 013,12080
E02007086,Cambridge 015,11337
E02007087,Cambridge 014,6417
E02003732,East Cambridgeshire 001,10044
E02003733,East Cambridgeshire 002,8674
E02003734,East Cambridgeshire 003,12068
E02003735,East Cambridgeshire 004,8555
E02003736,East Cambridgeshire 005,10529
E02003737,East Cambridgeshire 006,13633
E02003738,East Cambridgeshire 007,6767
E02003739,East Cambridgeshire 008,6515
E02003740,East Cambridgeshire 009,6268
E02006825,East Cambridgeshire 011,6295
E02003775,South Cambridgeshire 001,7375
E02003776,South Cambridgeshire 002,7050
E02003777,South Cambridgeshire 003,10679
E02003778,South Cambridgeshire 004,6700
E02003780,South Cambridgeshire 006,11589
E02003781,South Cambridgeshire 007,6345
E02003784,South Cambridgeshire 010,9116
E02003785,South Cambridgeshire 011,8873
E02003786,South Cambridgeshire 012,6685
E02003787,South Cambridgeshire 013,7775
E02003788,South Cambridgeshire 014,8540
E02003789,South Cambridgeshire 015,7368
E02003790,South Cambridgeshire 016,9356
E02003791,South Cambridgeshire 017,8488
E02003792,South Cambridgeshire 018,10047
E02003793,South Cambridgeshire 019,7352
E02006873,South Cambridgeshire 020,9843
E02006874,South Cambridgeshire 021,10490
E02007085,South Cambridgeshire 022,12056
