Fitting model for regional R2: RF Full Features + Cambridge/London Distance

Regional performance by msoa21: RF Full Features + Cambridge/London Distance
   msoa21  n_test actual_mean predicted_mean    MAE   RMSE MAPE_% median_abs_error mean_residual R2_log_price R2_price
E02003729     275     412,590        409,735 14,805 28,445   3.63            4,606         2,855       0.9461   0.9325
E02003776     251     346,082        340,549 21,636 37,001   6.78           12,177         5,533       0.9454   0.9317
E02003738     225     395,848        389,271 18,139 37,287   6.41            7,098         6,577       0.8768   0.9276
E02003788     310     455,090        444,978 24,369 41,143   6.24           10,690        10,112       0.9206   0.9266
E02003739     225     343,629        340,380 23,498 41,388   8.59           11,453         3,249       0.9080   0.9253
E02003785     277     400,703        393,284 26,860 45,390   7.51           11,210         7,420       0.9161   0.9238
E02003732     433     252,022        250,379 14,155 27,621   6.90            4,379         1,643       0.9150   0.9206
E02003786     172     428,120        422,571 25,830 47,408   8.18            6,957         5,549       0.8744   0.9174
E02003784     451     504,522        505,008 17,191 38,675   4.68            1,814          -486       0.8918   0.9172
E02003736     525     321,914        321,116 23,559 40,427   9.21           10,375           799       0.8888   0.9156
E02003791     243     443,690        444,324 21,068 39,119   5.82            9,648          -634       0.8644   0.9110
E02003722     143     341,170        338,499 44,246 63,786  17.78           34,518         2,671       0.8833   0.9064
E02006873     567     324,113        323,258 24,229 39,790   9.30           12,171           855       0.8643   0.9048
E02003735     274     381,177        378,133 26,518 45,464   9.25           10,336         3,044       0.8727   0.9017
E02003777     454     338,011        334,519 23,537 43,136   6.71            7,144         3,492       0.9386   0.9008
E02003719     233     312,737        310,324 22,361 39,245   7.99           11,219         2,413       0.8912   0.8984
E02006874     703     338,159        335,341 19,652 39,051   6.11            6,830         2,819       0.8903   0.8927
E02003728     299     388,285        386,607 34,035 50,424  11.24           19,960         1,679       0.8407   0.8917
E02003778     273     355,770        344,901 25,700 41,946   8.27           11,337        10,869       0.8516   0.8884
E02003740     142     371,823        373,101 26,488 44,624   9.06            9,712        -1,278       0.8279   0.8813
E02003780     390     378,196        371,296 28,403 47,839   9.81           13,477         6,901       0.8428   0.8805
